continent,iso_country,iso_region,municipality,iata_code
EU,FR,FR-V,Aubenas/Ardèche Méridional,OBS
NA,US,US-CA,Auburn,AUN
NA,US,US-AL,Auburn,AUO
NA,US,US-ME,Auburn/Lewiston,LEW
OC,NZ,NZ-AUK,Auckland,AKL
OC,NZ,NZ-AUK,Auckland City,MHB
EU,DE,DE-BY,Augsburg,AGB
NA,US,US-GA,Augusta,AGS
NA,US,US-ME,Augusta,AUG
NA,US,US-GA,Augusta,DNL
OC,SB,SB-ML,Auki,AKS
OC,PG,PG-WBK,Aumo,AUV
NA,CA,CA-QC,Aupaluk,YPJ
OC,MH,MH-AUR,Aur Atoll,AUL
AS,IN,IN-MM,Aurangabad,IXU
EU,FR,FR-C,Aurillac,AUR
NA,US,US-CO,Aurora,BFK
SA,SR,SR-SI,Aurora,LDO
OC,AU,AU-QLD,Aurukun,AUU
NA,US,US-NV,Austin,ASQ
NA,US,US-MN,Austin,AUM
NA,US,US-TX,Austin,AUS
EU,FR,FR-D,Auxerre/Branches,AUF
NA,US,US-CA,Avalon,AVX
OC,CK,CK-U-A,Avarua,RAR
EU,IT,IT-36,Aviano (PN),AVB
EU,FR,FR-U,Avignon,GAT
EU,FR,FR-U,Avignon/Caumont,AVN
NA,US,US-FL,Avon Park,AVO
OC,PG,PG-WPD,Awaba,AWB
OC,PG,PG-MPM,Awar,AWR
SA,SR,SR-SI,Awaradam,AAJ
AF,ET,ET-OR,Awassa,AWA
SA,CO,CO-CES,Ayacucho,AYC
SA,PE,PE-AYA,Ayacucho,AYP
SA,CO,CO-COR,Ayapel,AYA
AS,ID,ID-PB,Ayawasi-Papua Island,AYW
AS,TR,TR-09,Aydın,CII
OC,AU,AU-NT,Ayers Rock,AYQ
SA,PY,PY-8,Ayolas,AYO
AS,MV,MV-20,Baa Atoll,DRV
OC,PG,PG-NIK,Babase Island,MKN
OC,PW,PW-004,Babelthuap Island,ROR
EU,PL,PL-LB,Babimost,IEG
AS,ID,ID-PB,Babo-Papua Island,BXB
EU,RO,RO-BC,Bacău,BCM
AF,ET,ET-SN,Baco,BCO
AS,PH,PH-NEC,Bacolod City,BCD
EU,ES,ES-EX,Badajoz,BJZ
AS,CN,CN-15,Badanjilin,RHT
AS,ID,ID-PA,Bade-Papua Island,BXD
EU,DE,DE-BW,Baden-Baden,FKB
AS,PK,PK-SD,Badin,BDN
AF,CM,CM-OU,Bafoussam,BFX
AS,PH,PH-DAO,Baganga,BNQ
AF,NA,NA-KE,Bagani,BQI
NA,US,US-AZ,Bagdad,BGT
SA,BR,BR-RS,Bagé,BGX
AS,IQ,IQ-BG,Baghdad,BGW
AS,NP,NP-DH,Baglung,BGL
NA,CA,CA-QC,Bagotville,YBG
AS,AF,AF-PAR,Bagram,OAI
AS,PH,PH-BEN,Baguio City,BAG
AS,PK,PK-PB,Bahawalnagar,WGB
AS,PK,PK-PB,Bahawalpur,BHV
SA,AR,AR-B,Bahia Blanca,BHI
SA,CO,CO-CHO,Bahía Cupica,BHF
SA,EC,EC-M,Bahía de Caraquez,BHA
NA,MX,MX-BCN,Bahía de los Ángeles,BHL
SA,PY,PY-16,Bahía Negra,BFA
NA,PA,PA-5,Bahia Piña,BFQ
SA,CO,CO-CHO,Bahía Solano,BSC
AF,ET,ET-AM,Bahir Dar,BJR
AS,OM,OM-WU,Bahja,BJQ
EU,RO,RO-MM,Baia Mare,BAY
AS,CN,CN-22,Baicheng,DBC
AF,SO,SO-BY,Baidoa,BIB
NA,CA,CA-QC,Baie-Comeau,YBC
NA,CA,CA-QC,Baie-Johan-Beetz,YBJ
OC,PG,PG-GPK,Baimuru,VMU
NA,US,US-GA,Bainbridge,BGE
OC,PG,PG-ESW,Bainyik,HYF
AS,CN,CN-45,Baise,AEB
AS,CN,CN-22,Baishan,NBS
AS,NP,NP-MA,Baitadi,BIT
AS,ID,ID-NT,Bajawa,BJW
AS,NP,NP-SE,Bajhang,BJH
AS,NP,NP-SE,Bajura,BJU
AS,MY,MY-13,Bakalalan,BKM
AF,SN,SN-TC,Bakel,BXE
NA,US,US-OR,Baker City,BKE
NA,CA,CA-NU,Baker Lake,YBK
NA,US,US-CA,Bakersfield,BFL
EU,IS,IS-6,Bakkafjörður,BJD
AF,CF,CF-MB,Bakouma,BMF
AS,AZ,AZ-BA,Baku,GYD
AS,AZ,AZ-BA,Baku,ZXT
AS,IQ,IQ-SD,Balad,XQC
EU,RU,RU-SAR,Balakovo,BWO
EU,FR,FR-A,Bâle/Mulhouse,BSL
AF,SD,SD-13,Baleela Base Camp,BJE
EU,GB,GB-SCT,Balemartine,TRE
AS,PH,PH-AUR,Baler,BQA
OC,AU,AU-WA,Balgo,BQW
AF,CM,CM-NW,Bali,BLC
OC,PG,PG-WPD,Balimo,OPU
EU,GB,GB-SCT,Balivanich,BEB
AS,TM,TM-B,Balkanabat,BKN
AS,KZ,KZ-KAR,Balkhash,BXH
OC,SB,SB-WE,Ballalae,BAS
OC,AU,AU-NSW,Ballina,BNK
EU,GB,GB-NIR,Ballykelly,BOL
SA,CL,CL-AI,Balmaceda,BBA
SA,BR,BR-MA,Balsas,BSS
NA,US,US-MD,Baltimore,BWI
SA,EC,EC-W,Baltra,GPS
EU,DE,DE-NI,Baltrum,BMR
AS,IN,IN-WB,Balurghat,RGH
OC,AU,AU-QLD,Bamaga,ABM
AS,IQ,IQ-DA,Bamarni,BMN
AF,CF,CF-UK,Bambari,BBY
OC,PG,PG-MPM,Bambu,BCP
AF,CM,CM-NW,Bamenda,BPC
NA,CA,CA-BC,Bamfield,YBF
AS,AF,AF-BAM,Bamiyan,BIN
OC,PG,PG-WPD,Bamu,BMZ
AS,TH,TH-41,Ban Mak Khaen,BAO
AS,ID,ID-KU,Banaina-Borneo Island,NAF
OC,KI,KI-L,Banana,CXI
AS,ID,ID-AC,Banda Aceh,BTJ
AS,ID,ID-MA,Banda-Naira Island,NDA
AS,IR,IR-23,Bandar Abbas,BND
AS,ID,ID-LA,Bandar Lampung-Sumatra Island,TKG
AS,IR,IR-23,Bandar Lengeh,BDH
AS,BN,BN-BM,Bandar Seri Begawan,BWN
NA,US,US-OR,Bandon,BDY
AS,ID,ID-JB,Bandung-Java Island,BDO
NA,CA,CA-AB,Banff,YBA
AF,BF,BF-COM,Banfora,BNR
AS,IN,IN-KA,Bangalore,BLR
AF,CF,CF-MB,Bangassou,BGU
AS,CN,CN-54,Bangda,BPX
AS,TH,TH-10,Bangkok,BKK
AS,TH,TH-10,Bangkok,DMK
NA,US,US-ME,Bangor,BGR
AF,CF,CF-MP,Bangui,BGF
OC,AU,AU-NT,Baniyala,BYX
EU,BA,BA-SRP,Banja Luka,BNX
AS,ID,ID-KS,Banjarmasin-Borneo Island,BDJ
AF,GM,GM-W,Banjul,BJL
AS,MM,MM-11,Banmaw,BMO
NA,US,US-CA,Banning,BNG
AS,PK,PK-NW,Bannu,BNP
EU,IE,IE-C,Bantry,BYT
